transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail,transaction_datetime
130450,2023-06-15 00:00:00,06:00:35,2,5,Lower Manhattan,27,"3,5",Coffee,Organic brewed coffee,Brazilian Lg,2023-06-15 06:00:35
130451,2023-06-15 00:00:00,06:01:31,2,5,Lower Manhattan,54,"2,5",Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2023-06-15 06:01:31
130452,2023-06-15 00:00:00,06:03:05,2,5,Lower Manhattan,39,"4,25",Coffee,Barista Espresso,Latte Rg,2023-06-15 06:03:05
130453,2023-06-15 00:00:00,06:03:05,1,5,Lower Manhattan,64,"0,8",Flavours,Regular syrup,Hazelnut syrup,2023-06-15 06:03:05
130454,2023-06-15 00:00:00,06:04:06,2,5,Lower Manhattan,59,"4,5",Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2023-06-15 06:04:06
130455,2023-06-15 00:00:00,06:04:06,1,5,Lower Manhattan,14,"8,95",Loose Tea,Black tea,Earl Grey,2023-06-15 06:04:06
130456,2023-06-15 00:00:00,06:08:15,3,5,Lower Manhattan,55,4,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,2023-06-15 06:08:15
130457,2023-06-15 00:00:00,06:10:32,1,5,Lower Manhattan,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,2023-06-15 06:10:32
130458,2023-06-15 00:00:00,06:11:46,2,5,Lower Manhattan,33,"3,5",Coffee,Gourmet brewed coffee,Ethiopia Lg,2023-06-15 06:11:46
130459,2023-06-15 00:00:00,06:14:41,2,5,Lower Manhattan,42,"2,5",Tea,Brewed herbal tea,Lemon Grass Rg,2023-06-15 06:14:41
130460,2023-06-15 00:00:00,06:14:41,1,5,Lower Manhattan,15,"9,25",Loose Tea,Green tea,Serenity Green Tea,2023-06-15 06:14:41
130461,2023-06-15 00:00:00,06:15:49,1,5,Lower Manhattan,29,"2,5",Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,2023-06-15 06:15:49
130462,2023-06-15 00:00:00,06:16:41,1,5,Lower Manhattan,27,"3,5",Coffee,Organic brewed coffee,Brazilian Lg,2023-06-15 06:16:41
130463,2023-06-15 00:00:00,06:17:07,1,5,Lower Manhattan,37,3,Coffee,Barista Espresso,Espresso shot,2023-06-15 06:17:07
130464,2023-06-15 00:00:00,06:17:07,1,5,Lower Manhattan,65,"0,8",Flavours,Sugar free syrup,Sugar Free Vanilla syrup,2023-06-15 06:17:07
130465,2023-06-15 00:00:00,06:17:49,1,5,Lower Manhattan,49,3,Tea,Brewed Black tea,English Breakfast Lg,2023-06-15 06:17:49
130466,2023-06-15 00:00:00,06:20:33,1,5,Lower Manhattan,41,"4,25",Coffee,Barista Espresso,Cappuccino Lg,2023-06-15 06:20:33
130467,2023-06-15 00:00:00,06:20:33,1,5,Lower Manhattan,65,"0,8",Flavours,Sugar free syrup,Sugar Free Vanilla syrup,2023-06-15 06:20:33
